Content	Background	Single-parameter models	Multiparameter models	Computational methods	Markov chain Monte Carlo 	Stan and probabilistic programming		Hierarchical models + Project Introduction	Model checking	Evaluating and comparing models	Decision analysis	Large sample properties and Laplace approximation	
Lecture date	02/09/2024	16/09/2024	23/09/2024	30/09/2024	07/10/2024	14/10/2024		28/10/2024	4/11/2024	11/11/2024	18/11/2024	25/11/2024	02/12/2024
Assignment opens (08:00)	02/09/2024	16/09/2024	23/09/2024	30/09/2024	7/10/2024	14/10/2024		28/10/2024	N/A	11/11/2024	18/11/2024	N/A	N/A
Assignment closes (23:59)	15/09/2024	22/09/2024	29/09/2024	06/10/2024	13/10/2024	27/10/2024		10/11/2024	N/A	17/11/2024	24/11/2024	N/A	N/A
