Content	Background	Single-parameter models	Multiparameter models	Computational methods	Markov chain Monte Carlo 	Stan and probabilistic programming		Hierarchical models + Project Introduction	Model checking	Evaluating and comparing models	Decision analysis	Variable selection with projpred	
Lecture date	31/08/2026	07/09/2026	14/09/2026	21/09/2026	28/09/2026	05/10/2026		19/10/2026	26/10/2026	02/11/2026	09/11/2026	16/11/2026	23/11/2026
Assignment opens (08:00)	31/08/2026	07/09/2026	14/09/2026	21/09/2026	28/09/2026	05/10/2026		19/10/2026	N/A	02/11/2026	09/11/2026	N/A	N/A
Assignment closes (23:59)	06/09/2026	13/09/2026	20/09/2026	27/09/2026	04/10/2026	18/10/2026		01/11/2026	N/A	08/11/2026	15/11/2026	N/A	N/A
