Content	Background	Single-parameter models	Multiparameter models	Computational methods	Markov chain Monte Carlo 	Stan and probabilistic programming		Hierarchical models + Project Introduction	Model checking	Evaluating and comparing models	Decision analysis	Large sample properties and Laplace approximation	
Lecture date	04/09/2023	11/09/2023	18/09/2023	25/09/2023	02/10/2023	09/10/2023		23/10/2023	30/10/2023	06/11/2023	13/11/2023	20/11/2023	27/11/2023
Assignment opens (08:00)	04/09/2023	11/09/2023	18/09/2023	25/09/2023	02/10/2023	09/10/2023		23/10/2023	N/A	06/11/2023	13/11/2023	N/A	N/A
Assignment closes (23:59)	10/09/2023	17/09/2023	24/09/2023	01/10/2023	08/10/2023	22/10/2023		05/11/2023	N/A	12/11/2023	19/11/2023	N/A	N/A
Feedback opens (08:00)	11/09/2023	18/09/2023	25/09/2023	02/10/2023	09/10/2023	23/10/2023		06/11/2023	N/A	13/11/2023	20/11/2023	N/A	N/A
Feedback closes (23:59)	13/09/2023	20/09/2023	27/09/2023	04/10/2023	11/10/2023	25/10/2023		08/11/2023	N/A	15/11/2023	22/11/2023	N/A	N/A
Flagging period ends (23:59)	17/09/2023	24/09/2023	01/10/2023	08/10/2023	15/10/2023	29/10/2023		12/11/2023	N/A	19/11/2023	26/11/2023	N/A	N/A
