Content	Background	Single-parameter models	Multiparameter models	Computational methods	Markov chain Monte Carlo 	Stan and probabilistic programming		Hierarchical models + Project Introduction	Model checking	Evaluating and comparing models	Decision analysis	Large sample properties and Laplace approximation
Lecture date	05/09/2022	12/09/2022	19/09/2022	26/09/2022	03/10/2022	10/10/2022		24/10/2022	31/10/2022	07/11/2022	14/11/2022	21/11/2022	28/11/2022
Assignment opens (08:00)	05/09/2022	12/09/2022	19/09/2022	26/09/2022	03/10/2022	10/10/2022		24/10/2022	N/A	07/11/2022	14/11/2022	N/A	N/A
Assignment closes (23:59)	11/09/2022	18/09/2022	25/09/2022	02/10/2022	09/10/2022	23/10/2022		06/11/2022	N/A	13/11/2022	20/11/2022	N/A	N/A
Feedback opens (08:00)	12/09/2022	19/09/2022	26/09/2022	03/10/2022	10/10/2022	24/10/2022		07/11/2022	N/A	14/11/2022	21/11/2022	N/A	N/A
Feedback closes (23:59)	14/09/2022	21/09/2022	28/09/2022	05/10/2022	12/10/2022	26/10/2022		09/11/2022	N/A	16/11/2022	23/11/2022	N/A	N/A
Flagging period ends (23:59)	18/09/2022	25/09/2022	02/10/2022	09/10/2022	16/10/2022	30/10/2022		13/11/2022	N/A	20/11/2022	27/11/2022	N/A	N/A
